T_su,P_su,h_su,s_su,T_ex,P_ex,h_ex_s,RPM,m_dot_wf,Torque,Press.Ratio,W_shaft,deltaH,Spec.Vol.Suc.,h_evap_in,Eff_s,BTE,Eff_v,h_ex,H_dot,Q_dot_loss
363.7,608051.8,478898.5,1842.1,346,250052.1,461096.2,3000,0.083,3.197,2.43,1004,17802.26,0.0329,223991.1,0.68,0.047,0.77,467203.6,970,-33
363.5,611915.3,478605.7,1840.9,345.9,251991.1,460857.8,3000,0.0837,3.237,2.43,1017,17747.89,0.0327,224068.1,0.68,0.048,0.77,467007.7,971,-46
376.6,852412.7,488624.4,1850.1,352.6,205103.7,459848,3500,0.1314,6.280,4.16,2301,28776.4,0.0235,224071,0.61,0.066,0.74,474488.5,1858,-443
376.8,847522.8,488985.6,1851.3,352.9,202007.7,459971.4,3500,0.131,6.275,4.2,2299,29014.14,0.0237,223910,0.6,0.066,0.75,474790.7,1860,-439
377.2,843349.3,489449.1,1852.8,353.4,206343.8,460901.4,3500,0.1299,6.165,4.09,2259,28547.72,0.0239,223776.9,0.61,0.065,0.75,475193,1853,-406
376.5,849290.4,488554,1850.1,352.5,207749.8,460106.8,3500,0.13,6.219,4.09,2278,28447.19,0.0236,223790.3,0.62,0.066,0.74,474278.5,1856,-422
371.3,822520,483254.8,1837.6,348.3,206420.9,455792.8,3500,0.1302,5.918,3.98,2168,27462.02,0.0239,223761.5,0.61,0.064,0.75,470231,1696,-473
372.3,826255.1,484354.4,1840.3,349,208028.4,456853.1,3500,0.1298,5.978,3.97,2190,27501.27,0.0239,223773.6,0.61,0.065,0.75,470903.7,1745,-444
372.5,826307,484558.4,1840.9,349.5,215324.4,457716.4,3500,0.1299,5.883,3.84,2155,26841.97,0.0239,223816.8,0.62,0.064,0.75,471180.9,1738,-417
372.9,825583.1,485028.1,1842.2,350.2,223335.4,458879.2,3500,0.13,5.769,3.7,2113,26148.97,0.024,223948.5,0.62,0.062,0.75,471780.4,1722,-391
372.9,817832.5,485080.9,1842.8,350.2,223024.3,459068.5,3500,0.1278,5.682,3.67,2081,26012.47,0.0243,224152,0.63,0.062,0.75,471793.8,1698,-383
373.1,815875.1,485381.2,1843.8,350.5,222243.9,459313.5,3500,0.128,5.678,3.67,2080,26067.69,0.0244,224141.5,0.62,0.062,0.75,472066,1704,-376
373,813497.8,485304.2,1843.7,350.4,222696.3,459336.8,3500,0.1272,5.644,3.65,2068,25967.45,0.0245,224127.6,0.63,0.062,0.75,471951.1,1698,-369
373.4,816445.9,485751.9,1844.7,351,228894.9,460222.8,3500,0.1275,5.602,3.57,2052,25529.01,0.0244,224140.4,0.63,0.062,0.75,472475,1693,-359
373.1,809738.7,485475.6,1844.4,350.9,230065.2,460222.9,3500,0.1264,5.504,3.52,2016,25252.79,0.0246,224248.5,0.63,0.061,0.75,472352.1,1658,-358
372.7,811212.5,484980.4,1843,350.6,230673.8,459793.2,3500,0.1269,5.509,3.52,2018,25187.18,0.0245,224288.9,0.63,0.061,0.75,472032.1,1644,-374
372.4,814817.4,484600,1841.7,350.1,230239.9,459331,3500,0.1272,5.570,3.54,2040,25268.99,0.0243,224307.4,0.63,0.062,0.75,471605.9,1653,-388
373,808327.5,485380.6,1844.2,350.9,230518.1,460207.2,3500,0.1261,5.508,3.51,2018,25173.33,0.0246,224313.5,0.64,0.061,0.75,472301.3,1650,-368
372.5,802235.8,484921.3,1843.4,350.3,228112.5,459718.5,3500,0.1252,5.461,3.52,2001,25202.81,0.0248,224290.8,0.63,0.061,0.75,471835.8,1638,-362
372.7,803931.7,485111.9,1843.8,350.6,228901.3,459921.9,3500,0.1252,5.482,3.51,2008,25189.96,0.0248,224271.1,0.64,0.061,0.75,472078.9,1632,-376
372.8,792690.3,485452,1845.5,350.7,224952.2,460139.1,3500,0.123,5.401,3.52,1979,25312.88,0.0252,224215.1,0.64,0.062,0.75,472240.3,1625,-354
372.8,795104,485375.8,1845.1,350.5,225910.5,460099.5,3500,0.123,5.424,3.52,1987,25276.29,0.0251,224148.2,0.64,0.062,0.74,471997.8,1645,-342
373,776548.5,485944.5,1847.9,350.9,222133.1,460708.8,3500,0.1196,5.277,3.5,1933,25235.66,0.0258,224107.4,0.64,0.062,0.74,472487,1610,-323
373.3,766409.5,486515.8,1850.1,351.1,219323.6,461213.7,3500,0.1172,5.217,3.49,1911,25302.14,0.0263,224029.4,0.64,0.062,0.74,472761.8,1612,-299
372.2,747522.3,485627.5,1849.1,350.3,215582.3,460518.8,3500,0.1146,5.057,3.47,1853,25108.74,0.0269,223898.3,0.64,0.062,0.74,472044.7,1556,-297
371,744126.1,484305.9,1845.8,349.6,226585.4,460390.9,3500,0.1142,4.830,3.28,1769,23914.93,0.0269,223843.5,0.65,0.059,0.74,471116.3,1506,-263
370.8,739714.4,484209.1,1845.9,349.6,226230,460380,3500,0.114,4.803,3.27,1760,23829.03,0.0271,223989.1,0.65,0.059,0.74,471152.1,1488,-271
371,726880.7,484686,1848.1,351,246837.7,462881.5,3500,0.1104,4.366,2.94,1599,21804.44,0.0277,224038.5,0.66,0.056,0.74,472129.4,1387,-213
371.2,722935.2,484986,1849.2,351.3,247593.3,463320.1,3500,0.11,4.306,2.92,1578,21665.93,0.0279,224281.7,0.66,0.055,0.74,472473.5,1376,-201
370.2,708915.3,484156.8,1848,350.7,244296.7,462650.7,3500,0.1076,4.213,2.9,1543,21506.12,0.0284,224339.5,0.67,0.055,0.74,471863.6,1323,-220
369.3,702806.3,483252.5,1846,349.7,242575.5,461836.1,3500,0.1072,4.112,2.9,1506,21416.44,0.0286,224269.7,0.66,0.054,0.74,470959.7,1318,-189
369.8,706039.4,483750.1,1847.1,351.9,279309.4,465036,3500,0.1075,3.620,2.53,1326,18714.15,0.0285,224258.4,0.66,0.048,0.74,472466.1,1213,-114
369.6,704542.9,483480.6,1846.5,351.9,279043.8,464805.6,3500,0.1074,3.588,2.52,1314,18675,0.0285,224591.3,0.66,0.047,0.74,472499.9,1179,-135
369.5,702395.6,483464.1,1846.7,351.4,268786.5,464096.1,3500,0.1071,3.718,2.61,1362,19367.98,0.0286,224754.2,0.66,0.049,0.74,472137.5,1213,-149
369.5,702908.1,483494.8,1846.7,351,262440,463632,3500,0.1072,3.822,2.68,1400,19862.72,0.0286,224700.9,0.66,0.05,0.74,471860.1,1247,-153
373.1,895285.2,483910.3,1834.9,347.7,172251.4,451358.5,3500,0.1424,7.014,5.2,2570,32551.88,0.0218,221366.5,0.55,0.069,0.75,470230.6,1949,-621
373.3,898880.5,484057.3,1835.1,347.9,172237.3,451417.3,3500,0.1425,7.057,5.22,2585,32639.96,0.0217,221292.4,0.56,0.069,0.74,470366,1951,-634
373.2,897332.9,483941.2,1834.9,347.8,170999.3,451204.4,3500,0.1426,7.063,5.25,2587,32736.75,0.0217,221249.4,0.55,0.069,0.75,470296,1945,-642
372.9,901875,483549.6,1833.6,347.5,172352.4,450927.1,3500,0.1437,7.075,5.23,2592,32622.44,0.0216,221204.9,0.55,0.069,0.75,470038.7,1941,-651
372.9,908175.1,483448.3,1832.9,347.5,173709.4,450871.6,3500,0.1447,7.133,5.23,2613,32576.71,0.0214,221184.9,0.55,0.069,0.75,469976.4,1950,-663
373,930905.1,483106.9,1830.7,347.7,183395.1,451203.8,3500,0.1514,7.253,5.08,2657,31903.16,0.0208,221192.1,0.55,0.067,0.76,469997.7,1985,-672
373.1,923407.1,483420,1832,348,182427.7,451514.3,3500,0.1495,7.188,5.06,2633,31905.71,0.021,221523.6,0.55,0.067,0.76,470276.7,1964,-669
373.5,932966.5,483699.1,1832.2,348.5,188473.2,452218.5,3500,0.1522,7.214,4.95,2643,31480.6,0.0208,221509.8,0.55,0.066,0.76,470690.7,1980,-663
373.2,939066.1,483224,1830.6,348.4,197129.9,452561.7,3500,0.1527,7.202,4.76,2638,30662.28,0.0206,221905.2,0.56,0.066,0.76,470413.9,1956,-682
373.5,935276.6,483641.4,1831.9,348.7,197795.2,453065.5,3500,0.1515,7.162,4.73,2624,30575.85,0.0207,222264.3,0.57,0.066,0.76,470726.5,1957,-667
373.2,938671.4,483172.3,1830.5,348.6,206251.7,453403.9,3500,0.1527,7.104,4.55,2602,29768.47,0.0206,222482.5,0.57,0.065,0.76,470505.4,1934,-669
372.8,939440.7,482755.8,1829.3,348.4,210790.3,453444.1,3500,0.1529,7.076,4.46,2592,29311.71,0.0205,223003.4,0.58,0.065,0.76,470245.6,1913,-679
373.2,937318.5,483252,1830.8,348.8,212119.6,454046.3,3500,0.1515,7.051,4.42,2583,29205.74,0.0206,223334.5,0.58,0.066,0.75,470608.6,1916,-667
373.5,940866.2,483439.8,1831.1,349.1,216611.6,454557.4,3500,0.1527,7.044,4.34,2580,28882.35,0.0205,223467.2,0.59,0.065,0.75,470833.6,1925,-655
372.5,858113.5,483991.5,1837.3,348.2,163529.7,451148.1,4000,0.1487,6.170,5.25,2583,32843.4,0.0229,220326.3,0.53,0.066,0.72,470827.2,1958,-625
372.7,867491.5,484034.6,1836.9,348.3,163401.5,450983.2,4000,0.1514,6.259,5.31,2620,33051.41,0.0226,220311.3,0.52,0.066,0.72,470949.3,1981,-640
372.3,867735.1,483501.8,1835.4,347.8,163494.2,450521.3,4000,0.1507,6.263,5.31,2622,32980.49,0.0225,220335.8,0.53,0.066,0.72,470406.8,1973,-648
372.5,873593.5,483695.6,1835.6,348,163136.6,450533.4,4000,0.1516,6.312,5.36,2643,33162.26,0.0224,220296.7,0.53,0.066,0.71,470637.7,1979,-664
372.4,876951.4,483521.3,1834.9,348,164186,450439.1,4000,0.1531,6.339,5.34,2654,33082.2,0.0223,220307,0.52,0.066,0.72,470597.8,1979,-675
372.5,876693.8,483640.6,1835.3,348,164897.6,450632.9,4000,0.1529,6.342,5.32,2655,33007.67,0.0223,220304.5,0.53,0.066,0.72,470637.6,1989,-666
372.5,878654.2,483499.7,1834.8,347.9,164688,450446.2,4000,0.1531,6.357,5.34,2662,33053.52,0.0222,220330.3,0.53,0.066,0.72,470539.5,1984,-678
372.8,876072,483968.4,1836.2,348.4,166779.5,451153.9,4000,0.1514,6.314,5.25,2644,32814.5,0.0223,220334.5,0.53,0.066,0.71,470950.7,1971,-672
372.6,879885.5,483658.9,1835.1,348.3,169204.6,451088,4000,0.1529,6.319,5.2,2646,32570.91,0.0222,220325.4,0.53,0.066,0.72,470800.1,1966,-680
372.2,898997.6,482811.1,1831.7,347.8,175521.7,450686.2,4000,0.158,6.411,5.12,2684,32124.89,0.0216,220366.9,0.53,0.065,0.72,470191.6,1994,-690
372.7,865232.8,483997.6,1836.9,348.7,173265.8,452138.3,4000,0.1499,6.130,4.99,2566,31859.35,0.0227,220450.8,0.54,0.065,0.72,471116.4,1930,-636
372.3,875358.6,483343.2,1834.6,347.9,173636.9,451401.9,4000,0.1515,6.216,5.04,2603,31941.37,0.0223,220418.6,0.54,0.065,0.71,470377.6,1964,-639
373.3,877062,484437.2,1837.4,349.4,180561.2,453097.1,4000,0.1537,6.195,4.86,2594,31340.06,0.0224,220441.7,0.54,0.064,0.72,471671.2,1962,-632
372.7,874857.4,483865.5,1836,348.9,181290.7,452713.9,4000,0.153,6.157,4.83,2578,31151.63,0.0224,220611.6,0.54,0.064,0.72,471243.4,1931,-646
373.3,870674.9,484613.6,1838.3,349.5,180377.8,453360.2,4000,0.1517,6.144,4.83,2572,31253.34,0.0226,220668.4,0.54,0.064,0.72,471778.6,1947,-625
373.3,863441.2,484711.7,1839,349.4,178854.9,453426.3,4000,0.1495,6.073,4.83,2543,31285.46,0.0228,220655.2,0.54,0.064,0.72,471752.8,1937,-606
372.5,868626.3,483793.7,1836.2,348.8,181371.9,452782.9,4000,0.1517,6.096,4.79,2552,31010.77,0.0225,220611.5,0.54,0.064,0.72,471146.4,1919,-633
373,866534.7,484317.4,1837.7,349.4,185606.8,453740.4,4000,0.151,6.035,4.67,2527,30577,0.0227,220675.8,0.55,0.063,0.72,471649.5,1913,-613
373.1,871224.6,484340.2,1837.5,349.6,189649.1,454088.7,4000,0.1522,6.039,4.59,2528,30251.49,0.0225,220757.3,0.55,0.063,0.72,471713.7,1922,-607
372.9,865442.4,484245.1,1837.6,349.5,189007.1,454053.9,4000,0.1508,5.995,4.58,2510,30191.22,0.0227,220956.2,0.55,0.063,0.72,471677.7,1895,-615
373.5,866043.2,484874.6,1839.2,350.2,195584,455273.3,4000,0.1502,5.946,4.43,2489,29601.35,0.0227,221013.1,0.56,0.063,0.72,472232,1899,-590
